trscode,acres
T06R32E1,376.2643872
T06R33E1,144.1853669
T06R33E10,357.9432972
T06R33E11,464.5177749
T06R33E12,365.016778
T06R33E13,104.471349
T06R33E14,135.7303249
T06R33E15,43.70311323
T06R33E16,57.73691288
T06R33E2,292.9276714
T06R33E3,39.76367431
T06R33E4,385.5019582
T06R33E5,267.8203514
T06R33E6,289.2313131
T06R33E7,30.23257158
T06R33E8,107.4739951
T06R33E9,383.5666872
T06R34E10,295.5367649
T06R34E11,86.62253576
T06R34E14,3.519981995
T06R34E15,2.645213623
T06R34E17,2.007731107
T06R34E18,107.1684647
T06R34E3,5.118061026
T06R34E4,143.9253932
T06R34E5,320.5301587
T06R34E6,294.2739771
T06R34E7,369.0201291
T06R34E8,49.46182306
T06R34E9,619.1908452
T06R36E17,46.29865974
T06R36E5,159.5289954
T06R36E8,358.4336884
T06R36E9,157.5549193
T07R32E21,16.99365368
T07R32E22,29.52913658
T07R32E36,133.2977611
T07R33E13,78.8704928
T07R33E21,59.31139292
T07R33E22,76.7211825
T07R33E23,266.2203424
T07R33E24,487.664675
T07R33E25,135.5193052
T07R33E26,281.5466496
T07R33E29,77.49722418
T07R33E30,63.49734386
T07R33E31,481.162333
T07R33E32,277.4098991
T07R33E33,118.4289648
T07R33E34,65.12285181
T07R33E35,300.364883
T07R34E12,30.70978376
T07R34E13,197.8406051
T07R34E14,142.5341364
T07R34E20,197.0003058
T07R34E21,397.2742149
T07R34E22,176.0334686
T07R34E23,189.0739739
T07R34E24,153.8837426
T07R34E25,223.6666815
T07R34E27,115.4522342
T07R34E28,158.3022987
T07R34E29,220.5332958
T07R34E31,26.98497084
T07R34E32,16.21439533
T07R34E33,3.30337776
T07R34E38,193.6112654
T07R35E18,37.71517618
T07R35E7,13.11354402
T10R28E1,19.38830088
T11R17E16,146.567501
T11R17E17,117.3576175
T11R17E4,60.32322914
T11R17E9,154.9891917
T17R30E1,94.78702032
T17R30E18,30.12472895
T17R30E5,20.02555799
T17R30E7,113.5061203
T17R30E9,9.406771038
T18R28E26,22.71366258
T18R29E11,41.32186678
T18R29E12,93.44113236
T18R29E17,49.30894805
T18R29E2,143.067233
T18R30E10,47.99774238
T18R30E11,55.12951473
T18R30E17,98.3182387
T18R30E2,20.16901301
T18R30E20,11.23083202
T18R30E21,154.7256758
T18R30E22,52.68456689
T18R30E3,5.560116543
T18R30E5,37.11632209
T18R30E6,55.80577087
T19R29E35,21.9794673
T19R30E36,150.917176
T20R29E19,135.5285651
